Integration - Name,Integration - Link,Collection ID,Item ID,Created On,Updated On,Published On,Integration - Icon,Integration - Excerpt,Integration - About,Integration - Setup,Integration - Support,Integration - Integrate With Link,Integration - Category
EHR,ehr,61f4b7c99c4bc00c55eb5cc9,61f645ce22b4a0203e757aa4,Sun Jan 30 2022 08:01:18 GMT+0000 (Coordinated Universal Time),Sun Jan 30 2022 08:05:34 GMT+0000 (Coordinated Universal Time),Sun Jan 30 2022 08:10:36 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/61f4b7c99c4bc07ab2eb5cc0/61f6458d52d296c03b66a2b1_ehr-white.png,Transfer your electronic health records.,"<p><strong><em>If your institute has mapped the local Electronic Health Records (EHR) to Castor, you will be able to transfer the data from each EHR to the appropriate ...</em></strong></p>",,,,streaming
Symptom Tracker,google,61f4b7c99c4bc00c55eb5cc9,61f4b7c99c4bc06a87eb5d8f,Thu Aug 12 2021 19:52:13 GMT+0000 (Coordinated Universal Time),Sun Jan 30 2022 07:41:48 GMT+0000 (Coordinated Universal Time),Sun Jan 30 2022 08:10:36 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/61f4b7c99c4bc07ab2eb5cc0/61f63f18c8885c17e7b776d6_Sad.png,"Easily track mood, symptoms, or any outcome you want to optimize in a fraction of a second.","<h3>How to integrate Dark with Google?</h3><p>Lorem ipsum dolor sit amet, consectetur adipiscing elit lobortis arcu enim urna adipiscing praesent velit viverra sit semper <strong>lorem eu cursus vel</strong> hendrerit elementum morbi curabitur etiam nibh justo, lorem aliquet donec sed sit mi dignissim at ante massa mattis.</p><ol start=""""><li>Neque sodales ut etiam sit amet nisl purus non tellus orci ac auctor</li><li>Adipiscing elit ut aliquam purus sit amet viverra suspendisse potenti</li><li>Mauris commodo quis imperdiet massa tincidunt nunc pulvinar</li><li>Adipiscing elit ut aliquam purus sit amet viverra suspendisse potenti</li></ol><h3>Features available in the Integration</h3><p>Vitae congue eu consequat ac felis placerat vestibulum lectus mauris ultrices cursus sit amet dictum sit amet justo donec enim diam porttitor <strong>lacus luctus accumsan</strong> tortor posuere praesent tristique magna sit amet purus gravida quis blandit turpis.</p>","<h3>How to setup Dark with Google?</h3><p>Lorem ipsum dolor sit amet, consectetur adipiscing elit lobortis arcu enim urna adipiscing praesent velit viverra sit semper <strong>lorem eu cursus vel</strong> hendrerit elementum morbi curabitur etiam nibh justo, lorem aliquet donec sed sit mi dignissim at ante massa mattis.</p><ol start=""""><li>Neque sodales ut etiam sit amet nisl purus non tellus orci ac auctor</li><li>Adipiscing elit ut aliquam purus sit amet viverra suspendisse potenti</li><li>Mauris commodo quis imperdiet massa tincidunt nunc pulvinar</li><li>Adipiscing elit ut aliquam purus sit amet viverra suspendisse potenti</li></ol><h3>Features available in the Integration</h3><p>Vitae congue eu consequat ac felis placerat vestibulum lectus mauris ultrices cursus sit amet dictum sit amet justo donec enim diam porttitor <strong>lacus luctus accumsan</strong> tortor posuere praesent tristique magna sit amet purus gravida quis blandit turpis.</p>","<h3>Support</h3><p>Lorem ipsum dolor sit amet, consectetur adipiscing elit lobortis arcu enim urna adipiscing praesent velit viverra sit semper <strong>lorem eu cursus vel</strong> hendrerit elementum morbi curabitur etiam nibh justo, lorem aliquet donec sed sit mi dignissim at ante massa mattis.</p><ol start=""""><li>Neque sodales ut etiam sit amet nisl purus non tellus orci ac auctor</li><li>Adipiscing elit ut aliquam purus sit amet viverra suspendisse potenti</li><li>Mauris commodo quis imperdiet massa tincidunt nunc pulvinar</li><li>Adipiscing elit ut aliquam purus sit amet viverra suspendisse potenti</li></ol><h3>Features available in the Integration</h3><p>Vitae congue eu consequat ac felis placerat vestibulum lectus mauris ultrices cursus sit amet dictum sit amet justo donec enim diam porttitor <strong>lacus luctus accumsan</strong> tortor posuere praesent tristique magna sit amet purus gravida quis blandit turpis.</p>",https://www.google.com/,symptoms
Fitbit,https-app-quantimo-do-api-v1-connectors-fitbit-connect-final-callback-url-https-3a-2f-2fweb-quantimo-do-2f-23-2fapp-2fchat-clientid-quantimodo,61f4b7c99c4bc00c55eb5cc9,61f4b7c99c4bc0afebeb5dc8,Thu Aug 12 2021 19:54:46 GMT+0000 (Coordinated Universal Time),Sun Jan 30 2022 08:39:42 GMT+0000 (Coordinated Universal Time),Mon Feb 07 2022 05:22:20 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/61f4b7c99c4bc07ab2eb5cc0/61f63e51c8885c05d5b7751a_Vector.png,Fitbit's family of fitness products that help you stay motivated and improve your health by tracking ,"<h3>How to integrate Dark with Facebook?</h3><p>Lorem ipsum dolor sit amet, consectetur adipiscing elit lobortis arcu enim urna adipiscing praesent velit viverra sit semper <strong>lorem eu cursus vel</strong> hendrerit elementum morbi curabitur etiam nibh justo, lorem aliquet donec sed sit mi dignissim at ante massa mattis.</p><ol start=""""><li>Neque sodales ut etiam sit amet nisl purus non tellus orci ac auctor</li><li>Adipiscing elit ut aliquam purus sit amet viverra suspendisse potenti</li><li>Mauris commodo quis imperdiet massa tincidunt nunc pulvinar</li><li>Adipiscing elit ut aliquam purus sit amet viverra suspendisse potenti</li></ol><h3>Features available in the Integration</h3><p>Vitae congue eu consequat ac felis placerat vestibulum lectus mauris ultrices cursus sit amet dictum sit amet justo donec enim diam porttitor <strong>lacus luctus accumsan</strong> tortor posuere praesent tristique magna sit amet purus gravida quis blandit turpis.</p>","<h3>How to setup Dark with Facebook?</h3><p>Lorem ipsum dolor sit amet, consectetur adipiscing elit lobortis arcu enim urna adipiscing praesent velit viverra sit semper <strong>lorem eu cursus vel</strong> hendrerit elementum morbi curabitur etiam nibh justo, lorem aliquet donec sed sit mi dignissim at ante massa mattis.</p><ol start=""""><li>Neque sodales ut etiam sit amet nisl purus non tellus orci ac auctor</li><li>Adipiscing elit ut aliquam purus sit amet viverra suspendisse potenti</li><li>Mauris commodo quis imperdiet massa tincidunt nunc pulvinar</li><li>Adipiscing elit ut aliquam purus sit amet viverra suspendisse potenti</li></ol><h3>Features available in the Integration</h3><p>Vitae congue eu consequat ac felis placerat vestibulum lectus mauris ultrices cursus sit amet dictum sit amet justo donec enim diam porttitor <strong>lacus luctus accumsan</strong> tortor posuere praesent tristique magna sit amet purus gravida quis blandit turpis.</p>","<h3>Support</h3><p>Lorem ipsum dolor sit amet, consectetur adipiscing elit lobortis arcu enim urna adipiscing praesent velit viverra sit semper <strong>lorem eu cursus vel</strong> hendrerit elementum morbi curabitur etiam nibh justo, lorem aliquet donec sed sit mi dignissim at ante massa mattis.</p><ol start=""""><li>Neque sodales ut etiam sit amet nisl purus non tellus orci ac auctor</li><li>Adipiscing elit ut aliquam purus sit amet viverra suspendisse potenti</li><li>Mauris commodo quis imperdiet massa tincidunt nunc pulvinar</li><li>Adipiscing elit ut aliquam purus sit amet viverra suspendisse potenti</li></ol><h3>Features available in the Integration</h3><p>Vitae congue eu consequat ac felis placerat vestibulum lectus mauris ultrices cursus sit amet dictum sit amet justo donec enim diam porttitor <strong>lacus luctus accumsan</strong> tortor posuere praesent tristique magna sit amet purus gravida quis blandit turpis.</p>",https://app.quantimo.do/api/v1/connectors/fitbit/connect?final_callback_url=https%3A%2F%2Fweb.quantimo.do%2F%23%2Fapp%2Fimport&clientId=quantimodo&accessToken=01d397fd0e92067aac3815d99a5a0a334ae7126a,social-media
Pinterest,pinterest,61f4b7c99c4bc00c55eb5cc9,61f4b7c99c4bc04f5deb5d8c,Thu Aug 12 2021 19:47:29 GMT+0000 (Coordinated Universal Time),Sun Jan 30 2022 07:59:49 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/61f4b7c99c4bc07ab2eb5cc0/61f4b7c99c4bc02500eb5ddf_icon-1-integrations-dark-template.svg,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur,"<h3>How to integrate Dark with Pinterest?</h3><p>Lorem ipsum dolor sit amet, consectetur adipiscing elit lobortis arcu enim urna adipiscing praesent velit viverra sit semper <strong>lorem eu cursus vel</strong> hendrerit elementum morbi curabitur etiam nibh justo, lorem aliquet donec sed sit mi dignissim at ante massa mattis.</p><ol start=""""><li>Neque sodales ut etiam sit amet nisl purus non tellus orci ac auctor</li><li>Adipiscing elit ut aliquam purus sit amet viverra suspendisse potenti</li><li>Mauris commodo quis imperdiet massa tincidunt nunc pulvinar</li><li>Adipiscing elit ut aliquam purus sit amet viverra suspendisse potenti</li></ol><h3>Features available in the Integration</h3><p>Vitae congue eu consequat ac felis placerat vestibulum lectus mauris ultrices cursus sit amet dictum sit amet justo donec enim diam porttitor <strong>lacus luctus accumsan</strong> tortor posuere praesent tristique magna sit amet purus gravida quis blandit turpis.</p>","<h3>How to setup Dark with Pinterest?</h3><p>Lorem ipsum dolor sit amet, consectetur adipiscing elit lobortis arcu enim urna adipiscing praesent velit viverra sit semper <strong>lorem eu cursus vel</strong> hendrerit elementum morbi curabitur etiam nibh justo, lorem aliquet donec sed sit mi dignissim at ante massa mattis.</p><ol start=""""><li>Neque sodales ut etiam sit amet nisl purus non tellus orci ac auctor</li><li>Adipiscing elit ut aliquam purus sit amet viverra suspendisse potenti</li><li>Mauris commodo quis imperdiet massa tincidunt nunc pulvinar</li><li>Adipiscing elit ut aliquam purus sit amet viverra suspendisse potenti</li></ol><h3>Features available in the Integration</h3><p>Vitae congue eu consequat ac felis placerat vestibulum lectus mauris ultrices cursus sit amet dictum sit amet justo donec enim diam porttitor <strong>lacus luctus accumsan</strong> tortor posuere praesent tristique magna sit amet purus gravida quis blandit turpis.</p>","<h3>Support</h3><p>Lorem ipsum dolor sit amet, consectetur adipiscing elit lobortis arcu enim urna adipiscing praesent velit viverra sit semper <strong>lorem eu cursus vel</strong> hendrerit elementum morbi curabitur etiam nibh justo, lorem aliquet donec sed sit mi dignissim at ante massa mattis.</p><ol start=""""><li>Neque sodales ut etiam sit amet nisl purus non tellus orci ac auctor</li><li>Adipiscing elit ut aliquam purus sit amet viverra suspendisse potenti</li><li>Mauris commodo quis imperdiet massa tincidunt nunc pulvinar</li><li>Adipiscing elit ut aliquam purus sit amet viverra suspendisse potenti</li></ol><h3>Features available in the Integration</h3><p>Vitae congue eu consequat ac felis placerat vestibulum lectus mauris ultrices cursus sit amet dictum sit amet justo donec enim diam porttitor <strong>lacus luctus accumsan</strong> tortor posuere praesent tristique magna sit amet purus gravida quis blandit turpis.</p>",https://www.pinterest.com/,social-media
Medisafe,twitter,61f4b7c99c4bc00c55eb5cc9,61f4b7c99c4bc07b1deb5db6,Thu Aug 12 2021 19:53:34 GMT+0000 (Coordinated Universal Time),Sun Jan 30 2022 07:41:17 GMT+0000 (Coordinated Universal Time),Sun Jan 30 2022 08:10:36 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/61f4b7c99c4bc07ab2eb5cc0/61f63ffbe235e76f0b60e511_medisafeSymbol.png,A comprehensive prescription/medication compliance and tracking app.,"<h3>How to integrate Dark with Twitter?</h3><p>Lorem ipsum dolor sit amet, consectetur adipiscing elit lobortis arcu enim urna adipiscing praesent velit viverra sit semper <strong>lorem eu cursus vel</strong> hendrerit elementum morbi curabitur etiam nibh justo, lorem aliquet donec sed sit mi dignissim at ante massa mattis.</p><ol start=""""><li>Neque sodales ut etiam sit amet nisl purus non tellus orci ac auctor</li><li>Adipiscing elit ut aliquam purus sit amet viverra suspendisse potenti</li><li>Mauris commodo quis imperdiet massa tincidunt nunc pulvinar</li><li>Adipiscing elit ut aliquam purus sit amet viverra suspendisse potenti</li></ol><h3>Features available in the Integration</h3><p>Vitae congue eu consequat ac felis placerat vestibulum lectus mauris ultrices cursus sit amet dictum sit amet justo donec enim diam porttitor <strong>lacus luctus accumsan</strong> tortor posuere praesent tristique magna sit amet purus gravida quis blandit turpis.</p>","<h3>How to setup Dark with Twitter?</h3><p>Lorem ipsum dolor sit amet, consectetur adipiscing elit lobortis arcu enim urna adipiscing praesent velit viverra sit semper <strong>lorem eu cursus vel</strong> hendrerit elementum morbi curabitur etiam nibh justo, lorem aliquet donec sed sit mi dignissim at ante massa mattis.</p><ol start=""""><li>Neque sodales ut etiam sit amet nisl purus non tellus orci ac auctor</li><li>Adipiscing elit ut aliquam purus sit amet viverra suspendisse potenti</li><li>Mauris commodo quis imperdiet massa tincidunt nunc pulvinar</li><li>Adipiscing elit ut aliquam purus sit amet viverra suspendisse potenti</li></ol><h3>Features available in the Integration</h3><p>Vitae congue eu consequat ac felis placerat vestibulum lectus mauris ultrices cursus sit amet dictum sit amet justo donec enim diam porttitor <strong>lacus luctus accumsan</strong> tortor posuere praesent tristique magna sit amet purus gravida quis blandit turpis.</p>","<h3>Support</h3><p>Lorem ipsum dolor sit amet, consectetur adipiscing elit lobortis arcu enim urna adipiscing praesent velit viverra sit semper <strong>lorem eu cursus vel</strong> hendrerit elementum morbi curabitur etiam nibh justo, lorem aliquet donec sed sit mi dignissim at ante massa mattis.</p><ol start=""""><li>Neque sodales ut etiam sit amet nisl purus non tellus orci ac auctor</li><li>Adipiscing elit ut aliquam purus sit amet viverra suspendisse potenti</li><li>Mauris commodo quis imperdiet massa tincidunt nunc pulvinar</li><li>Adipiscing elit ut aliquam purus sit amet viverra suspendisse potenti</li></ol><h3>Features available in the Integration</h3><p>Vitae congue eu consequat ac felis placerat vestibulum lectus mauris ultrices cursus sit amet dictum sit amet justo donec enim diam porttitor <strong>lacus luctus accumsan</strong> tortor posuere praesent tristique magna sit amet purus gravida quis blandit turpis.</p>",https://twitter.com/,treatments
MyFitnessPal,webflow,61f4b7c99c4bc00c55eb5cc9,61f4b7c99c4bc0d4e4eb5d8d,Thu Aug 12 2021 19:49:17 GMT+0000 (Coordinated Universal Time),Sun Jan 30 2022 08:06:26 GMT+0000 (Coordinated Universal Time),Sun Jan 30 2022 08:10:36 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/61f4b7c99c4bc07ab2eb5cc0/61f643af622ca18a7bd5b222_MyFitnessPal_Logo-1-transparent.png,"Lose weight and build healthy habits that stick with MyFitnessPal, the easiest all-in-one calorie...","<h3>How to integrate Dark with Webflow?</h3><p>Lorem ipsum dolor sit amet, consectetur adipiscing elit lobortis arcu enim urna adipiscing praesent velit viverra sit semper <strong>lorem eu cursus vel</strong> hendrerit elementum morbi curabitur etiam nibh justo, lorem aliquet donec sed sit mi dignissim at ante massa mattis.</p><ol start=""""><li>Neque sodales ut etiam sit amet nisl purus non tellus orci ac auctor</li><li>Adipiscing elit ut aliquam purus sit amet viverra suspendisse potenti</li><li>Mauris commodo quis imperdiet massa tincidunt nunc pulvinar</li><li>Adipiscing elit ut aliquam purus sit amet viverra suspendisse potenti</li></ol><h3>Features available in the Integration</h3><p>Vitae congue eu consequat ac felis placerat vestibulum lectus mauris ultrices cursus sit amet dictum sit amet justo donec enim diam porttitor <strong>lacus luctus accumsan</strong> tortor posuere praesent tristique magna sit amet purus gravida quis blandit turpis.</p>","<h3>How to setup Dark with Webflow?</h3><p>Lorem ipsum dolor sit amet, consectetur adipiscing elit lobortis arcu enim urna adipiscing praesent velit viverra sit semper <strong>lorem eu cursus vel</strong> hendrerit elementum morbi curabitur etiam nibh justo, lorem aliquet donec sed sit mi dignissim at ante massa mattis.</p><ol start=""""><li>Neque sodales ut etiam sit amet nisl purus non tellus orci ac auctor</li><li>Adipiscing elit ut aliquam purus sit amet viverra suspendisse potenti</li><li>Mauris commodo quis imperdiet massa tincidunt nunc pulvinar</li><li>Adipiscing elit ut aliquam purus sit amet viverra suspendisse potenti</li></ol><h3>Features available in the Integration</h3><p>Vitae congue eu consequat ac felis placerat vestibulum lectus mauris ultrices cursus sit amet dictum sit amet justo donec enim diam porttitor <strong>lacus luctus accumsan</strong> tortor posuere praesent tristique magna sit amet purus gravida quis blandit turpis.</p>","<h3>Support</h3><p>Lorem ipsum dolor sit amet, consectetur adipiscing elit lobortis arcu enim urna adipiscing praesent velit viverra sit semper <strong>lorem eu cursus vel</strong> hendrerit elementum morbi curabitur etiam nibh justo, lorem aliquet donec sed sit mi dignissim at ante massa mattis.</p><ol start=""""><li>Neque sodales ut etiam sit amet nisl purus non tellus orci ac auctor</li><li>Adipiscing elit ut aliquam purus sit amet viverra suspendisse potenti</li><li>Mauris commodo quis imperdiet massa tincidunt nunc pulvinar</li><li>Adipiscing elit ut aliquam purus sit amet viverra suspendisse potenti</li></ol><h3>Features available in the Integration</h3><p>Vitae congue eu consequat ac felis placerat vestibulum lectus mauris ultrices cursus sit amet dictum sit amet justo donec enim diam porttitor <strong>lacus luctus accumsan</strong> tortor posuere praesent tristique magna sit amet purus gravida quis blandit turpis.</p>",https://webflow.com/,productivity
Oura Ring,youtube,61f4b7c99c4bc00c55eb5cc9,61f4b7c99c4bc008feeb5d8e,Thu Aug 12 2021 19:50:35 GMT+0000 (Coordinated Universal Time),Sun Jan 30 2022 10:36:09 GMT+0000 (Coordinated Universal Time),Mon Feb 07 2022 05:22:20 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/61f4b7c99c4bc07ab2eb5cc0/61f64352c8885c7c0bb78bea_oura-ring.png,"The Oura Ring, App and Oura Cloud Help You Optimize Your Sleep. ","<h3>How to integrate Dark with YouTube?</h3><p>Lorem ipsum dolor sit amet, consectetur adipiscing elit lobortis arcu enim urna adipiscing praesent velit viverra sit semper <strong>lorem eu cursus vel</strong> hendrerit elementum morbi curabitur etiam nibh justo, lorem aliquet donec sed sit mi dignissim at ante massa mattis.</p><ol start=""""><li>Neque sodales ut etiam sit amet nisl purus non tellus orci ac auctor</li><li>Adipiscing elit ut aliquam purus sit amet viverra suspendisse potenti</li><li>Mauris commodo quis imperdiet massa tincidunt nunc pulvinar</li><li>Adipiscing elit ut aliquam purus sit amet viverra suspendisse potenti</li></ol><h3>Features available in the Integration</h3><p>Vitae congue eu consequat ac felis placerat vestibulum lectus mauris ultrices cursus sit amet dictum sit amet justo donec enim diam porttitor <strong>lacus luctus accumsan</strong> tortor posuere praesent tristique magna sit amet purus gravida quis blandit turpis.</p>","<h3>How to setup Dark with YouTube?</h3><p>Lorem ipsum dolor sit amet, consectetur adipiscing elit lobortis arcu enim urna adipiscing praesent velit viverra sit semper <strong>lorem eu cursus vel</strong> hendrerit elementum morbi curabitur etiam nibh justo, lorem aliquet donec sed sit mi dignissim at ante massa mattis.</p><ol start=""""><li>Neque sodales ut etiam sit amet nisl purus non tellus orci ac auctor</li><li>Adipiscing elit ut aliquam purus sit amet viverra suspendisse potenti</li><li>Mauris commodo quis imperdiet massa tincidunt nunc pulvinar</li><li>Adipiscing elit ut aliquam purus sit amet viverra suspendisse potenti</li></ol><h3>Features available in the Integration</h3><p>Vitae congue eu consequat ac felis placerat vestibulum lectus mauris ultrices cursus sit amet dictum sit amet justo donec enim diam porttitor <strong>lacus luctus accumsan</strong> tortor posuere praesent tristique magna sit amet purus gravida quis blandit turpis.</p>","<h3>Support</h3><p>Lorem ipsum dolor sit amet, consectetur adipiscing elit lobortis arcu enim urna adipiscing praesent velit viverra sit semper <strong>lorem eu cursus vel</strong> hendrerit elementum morbi curabitur etiam nibh justo, lorem aliquet donec sed sit mi dignissim at ante massa mattis.</p><ol start=""""><li>Neque sodales ut etiam sit amet nisl purus non tellus orci ac auctor</li><li>Adipiscing elit ut aliquam purus sit amet viverra suspendisse potenti</li><li>Mauris commodo quis imperdiet massa tincidunt nunc pulvinar</li><li>Adipiscing elit ut aliquam purus sit amet viverra suspendisse potenti</li></ol><h3>Features available in the Integration</h3><p>Vitae congue eu consequat ac felis placerat vestibulum lectus mauris ultrices cursus sit amet dictum sit amet justo donec enim diam porttitor <strong>lacus luctus accumsan</strong> tortor posuere praesent tristique magna sit amet purus gravida quis blandit turpis.</p>",https://www.youtube.com/,streaming
MyFitnessPal,,,,,,,,,,,,,
RunKeeper,,,,,,,,,,,,,
WhatPulse,,,,,,,,,,,,,
