"","Tokens","Price","% Supply","Vesting","Closes"
"Private Round 1 Retail","4,000,000","$0.20","4%","20% on TGE, 10% each Quarter 3 Months after TGE","SOLD OUT"
"Private Round 1 Institutional","6,000,000","$0.20","6%","6 months cliff after TGE, 10% each Quarter","SOLD OUT"
"Private Round 2 Retail","1,650,000","$0.35","1.65%","20% on TGE, 10% each Quarter 3 Months after TGE","SOLD OUT"
"Private Round 2 Institutional","2,350,000","$0.35","2.35%","6 months cliff after TGE, 10% each Quarter","SOLD OUT"
"Private Round 3 Retail","500,000","$0.50","0.5%","20% on TGE, 10% each Quarter 3 Months after TGE","April 22, 2022, at 22:00 UTC"
"Private Round 3 Institutional","2,500,000","$0.50","2.5%","6 months cliff after TGE, 10% each Quarter","April 22, 2022, at 22:00 UTC"
"Public Sale","2,000,000","$0.70","2%","25% on TGE. 10% each Month after TGE",""
"Liquidity / Listing","25,000,000","$0.70","25%","1% on TGE. 10% each Month unlocking",""
"Community Incentives / Marketing","25,000,000","TBD","26%","0% on TGE. 10% each Month unlocking",""
"Team & Advisors","10,000,000","TBD","10%","Vesting for 12 months, 0% on TGE, 3 months cliff, after 10% each Month unlocking",""
"Development","20,000,000","TBD","20%","Vesting for 12 months  10% each Month unlocking",""
